ID,Título,Género,Año de lanzamiento,Duración,ATP,Plataformas
10,Titanic,Romance,1997,195,No,Disney+-Amazon Prime
65,Los 8 más odiados,Western,2015,187,No,Netflix
75,Vengadores: endgame,Superhéroes,2019,181,Si,Disney+
41,El lobo de wall street,Biográfico,2013,180,No,Netflix-Amazon Prime
73,El señor de los anillos: las dos torres,Fantasía,2002,179,No,Amazon Prime
26,Corazón valiente,Histórico,1995,178,No,Netflix-Amazon Prime
19,El señor de los anillos: la comunidad del anillo,Fantasía,2001,178,Si,Amazon Prime
2,El padrino,Crimen,1972,175,No,HBO Max-Amazon Prime
76,El hobbit: un viaje inesperado,Fantasía,2012,169,Si,Amazon Prime
21,Interestelar,Ciencia ficción,2014,169,No,Netflix-Amazon Prime
55,Django sin cadenas,Western,2012,165,No,Netflix
77,Blade runner 2049,Ciencia ficción,2017,164,No,HBO Max-Amazon Prime
17,Avatar,Ciencia ficción,2009,162,Si,Disney+
47,El renacido,Acción,2015,156,No,Amazon Prime-Netflix
9,Gladiador,Acción,2000,155,No,Amazon Prime-HBO Max
5,Tiempos violentos,Crimen,1994,154,No,Netflix
44,Bastardos sin gloria,Bélico,2009,153,No,Netflix-Amazon Prime
4,El caballero oscuro,Superhéroes,2008,152,No,HBO Max-Amazon Prime
20,Harry potter y la piedra filosofal,Fantasía,2001,152,Si,HBO Max
56,Los infiltrados,Policíaco,2006,151,No,Netflix-Amazon Prime
33,Perdida,Misterio,2014,149,No,HBO Max
1,El origen,Ciencia ficción,2010,148,No,Netflix-Amazon Prime
40,Hacia rutas salvajes,Biográfico,2007,148,No,Netflix-Amazon Prime
74,El resplandor,Terror,1980,146,No,Amazon Prime-HBO Max
64,Misión rescate,Ciencia ficción,2015,144,Si,Amazon Prime-Netflix
60,El gran gatsby,Drama,2013,143,Si,Amazon Prime
14,Los vengadores,Superhéroes,2012,143,Si,Disney+
6,Forrest gump,Drama,1994,142,No,Netflix-Amazon Prime
13,Sueños de libertad,Drama,1994,142,No,Netflix
59,El club de la pelea,Drama,1999,139,No,Amazon Prime-HBO Max
62,Logan,Superhéroes,2017,137,No,Disney+
7,Matrix,Ciencia ficción,1999,136,No,Netflix-HBO Max
31,Nace una estrella,Musical,2018,136,No,Netflix-HBO Max
28,Una mente brillante,Biográfico,2001,135,No,Netflix
63,12 años de esclavitud,Histórico,2013,134,No,Amazon Prime-Netflix
27,Pantera negra,Superhéroes,2018,134,Si,Disney+
80,El juego de la fortuna,Deportivo,2011,133,No,Netflix
38,Duro de matar,Acción,1988,132,No,Amazon Prime
66,El gran truco,Misterio,2006,130,No,Amazon Prime-Netflix
78,El secreto de sus ojos,Suspenso,2009,129,No,Amazon Prime-Netflix
48,La la land: una historia de amor,Musical,2016,128,Si,Netflix-Amazon Prime
12,Parque jurásico,Aventura,1993,127,Si,Amazon Prime-HBO Max
54,Una aventura extraordinaria,Aventura,2012,127,Si,Amazon Prime
49,Ella,Romance,2013,126,No,Netflix
39,Jurassic world,Aventura,2015,124,Si,Netflix-Amazon Prime
34,Tiburón,Terror,1975,124,No,Amazon Prime
